,TF,log2FC,change_type,t,p,BH_q,BH_sig5,BH_sig1
0,MA0696.1.ZIC1,0.49714945394627175,TF_increase,0.29684215984513274_KS,5.5969562768597445e-59,9.083060472160958e-57,True,True
1,MA1646.1.OSR2,-0.0121221497443023,TF_decrease,0.03913361635343934_KS,0.5855655501240076,0.629330619622396,False,False
2,MA0748.2.YY2,0.17190471852807737,TF_increase,0.12871454592766068_KS,0.004675239595630122,0.009188706194871658,True,True
3,MA0062.3.GABPA,0.37925877427479904,TF_increase,0.21114523791849157_KS,1.9948139785889435e-11,1.6911258803559999e-10,True,True
4,MA0814.2.TFAP2C,0.6164800655069501,TF_increase,0.38525579649321123_KS,3.067180062487385e-82,3.484316550985669e-79,True,True
5,MA0475.1.FLI1,0.4323203135405608,TF_increase,0.2801539042907692_KS,8.618859841661258e-07,3.6129242731096637e-06,True,True
6,MA0761.2.ETV1,0.3961657323383282,TF_increase,0.24007966397142114_KS,5.988186293543631e-14,6.47864726615768e-13,True,True
7,MA0697.1.ZIC3,0.3733445843358338,TF_increase,0.24607129844027315_KS,2.213721668862119e-26,5.848343757738063e-25,True,True
8,MA1102.1.CTCFL,0.3844826243235768,TF_increase,0.1965449198003096_KS,1.1965390771159545e-19,2.2654473193395408e-18,True,True
9,MA1584.1.ZIC5,0.43500665572771147,TF_increase,0.24063312534807085_KS,2.6981998241922364e-30,9.887596775104454e-29,True,True
10,MA0510.1.RFX5,0.6941319946091525,TF_increase,0.3097582797616537_KS,3.4759510915394942e-15,4.3392092747130385e-14,True,True
11,MA1584.2.ZIC5,0.4559490120637472,TF_increase,0.2448380747897656_KS,2.5083233769452393e-30,9.498184520699307e-29,True,True
12,MA0812.1.TFAP2B,0.7696644170438347,TF_increase,0.39887075208176126_KS,3.0746008917689455e-34,1.587612096840692e-32,True,True
13,MA0039.4.KLF4,0.6990839700588575,TF_increase,0.35403342114548614_KS,1.9147504666927575e-34,1.0357888238871298e-32,True,True
14,MA1972.1.ZFP14,0.33133780804756,TF_increase,0.17201842256764538_KS,3.1639023498254162e-09,2.0538246110866704e-08,True,True
15,MA1558.1.SNAI1,0.2526481955845996,TF_increase,0.1936082924248758_KS,4.360207382505679e-05,0.00013874497441250565,True,True
16,MA0003.3.TFAP2A,0.7663066786129279,TF_increase,0.41284623335694565_KS,1.00262924601492e-44,1.0354425667935902e-42,True,True
17,MA0147.3.MYC,0.8375283996049026,TF_increase,0.49440465093460234_KS,2.2025562287854493e-24,5.106334440612797e-23,True,True
18,MA1641.1.MYF5,0.26498364527434765,TF_increase,0.16592350265522418_KS,2.143577715291253e-09,1.4240375933162946e-08,True,True
19,MA1725.1.ZNF189,0.13003573437898622,TF_increase,0.2032449489002967_KS,0.00044972310045111966,0.0011651451510965155,True,True
20,MA0473.3.ELF1,0.38599276243963887,TF_increase,0.22846352334037062_KS,4.2055225518434043e-08,2.2220807529740034e-07,True,True
21,MA0039.3.KLF4,0.801970959795145,TF_increase,0.3635031510974512_KS,3.551444424224434e-30,1.2607627705996742e-28,True,True
22,MA0814.1.TFAP2C,0.7612481305096079,TF_increase,0.4042509830936594_KS,1.7510663394802232e-40,1.2432571010309584e-38,True,True
23,MA0090.1.TEAD1,0.08927051726309584,TF_increase,0.11154230495094897_KS,0.04986296521957712,0.07502560064826438,False,False
24,MA1522.1.MAZ,0.3244342506816157,TF_increase,0.2058133859604448_KS,6.187305117437331e-06,2.2528136581438483e-05,True,True
25,MA0640.2.ELF3,0.3940820365010545,TF_increase,0.239179444542155_KS,1.1589576068510278e-08,6.893067232370511e-08,True,True
26,MA0062.4.GABPA,0.413897388968996,TF_increase,0.2304183494448304_KS,8.882295047574453e-11,7.007143870864291e-10,True,True
27,MA1713.1.ZNF610,0.11806024163037339,TF_increase,0.06538548649217822_KS,0.007070801676536548,0.01318954138677425,True,False
28,MA0830.1.TCF4,0.1828360143588823,TF_increase,0.17141668074018673_KS,5.279602554499296e-06,1.953624919189316e-05,True,True
29,MA1515.1.KLF2,0.38720899657179575,TF_increase,0.27094705450258855_KS,3.774740257878038e-08,2.0322772194073228e-07,True,True
30,MA1596.1.ZNF460,0.6450594673868321,TF_increase,0.3646004453692549_KS,5.678812492376321e-31,2.2245279280481035e-29,True,True
31,MA0003.4.TFAP2A,0.5542774411362226,TF_increase,0.3724121268624898_KS,3.533045374353216e-57,4.4594883836280594e-55,True,True
32,MA0599.1.KLF5,0.2956719642482366,TF_increase,0.2652833200319234_KS,5.9863279849075455e-06,2.1936995454370875e-05,True,True
33,MA2328.1.ZBED4,0.24078238384307882,TF_increase,0.14013177820220413_KS,4.19279669033882e-09,2.631501127196077e-08,True,True
34,MA1464.1.ARNT2,0.5964453724229439,TF_increase,0.2900294039026998_KS,2.599280999914857e-08,1.4474427528937635e-07,True,True
35,MA0100.3.MYB,-0.5722688482563124,TF_decrease,0.3174257325549772_KS,3.2931026423726677e-15,4.1566273352615e-14,True,True
36,MA1102.2.CTCFL,0.5813180893779293,TF_increase,0.2942225128037485_KS,6.9441683104528615e-28,1.9721438001686126e-26,True,True
37,MA0523.1.TCF7L2,-0.7915799435234024,TF_decrease,0.5237506549646319_KS,1.2531392558332855e-08,7.375990645733744e-08,True,True
38,MA1568.1.TCF21,0.5144412407847934,TF_increase,0.33065591081413265_KS,2.386406385864783e-06,9.316005685025406e-06,True,True
39,MA1635.1.BHLHE22,0.6487341421727587,TF_increase,0.3549834064203665_KS,1.8070147256897458e-28,5.263509559957823e-27,True,True
40,MA1517.1.KLF6,0.26571430988132116,TF_increase,0.21816579010279705_KS,0.00041045967086623275,0.0010768641711409708,True,True
41,MA0524.1.TFAP2C,0.629700535932397,TF_increase,0.34322875297855443_KS,6.21341888360722e-08,3.1370861563456895e-07,True,True
42,MA0048.2.NHLH1,0.22713392969321855,TF_increase,0.1676419185321714_KS,6.874874511477663e-07,2.9250402415875e-06,True,True
43,MA0616.2.HES2,0.6447718370535791,TF_increase,0.29774641026651244_KS,6.803557143528868e-12,6.183072732039035e-11,True,True
44,MA0764.2.ETV4,0.23334581714692354,TF_increase,0.16628649635036497_KS,0.001158891766900643,0.0027599602666648435,True,True
45,MA1513.1.KLF15,0.29571435851880173,TF_increase,0.1601147392694319_KS,3.572004205388605e-08,1.941529558527012e-07,True,True
46,MA0776.1.MYBL1,-0.3904468654965548,TF_decrease,0.30911427815370657_KS,2.5170276116927943e-06,9.792271804393885e-06,True,True
47,MA1726.1.ZNF331,0.5098294855628653,TF_increase,0.26333277622583545_KS,1.8084602578218428e-12,1.7120090440713444e-11,True,True
48,MA0830.2.TCF4,0.5562426057265029,TF_increase,0.3043607764390897_KS,1.2745908715754532e-19,2.335379403402766e-18,True,True
49,MA1585.1.ZKSCAN1,-0.4685679899517818,TF_decrease,0.2787271111250944_KS,1.4494338374528724e-09,1.0039980727722336e-08,True,True
50,MA1650.1.ZBTB14,0.375801105614178,TF_increase,0.19016861940510305_KS,3.040974996162733e-26,7.85124453554742e-25,True,True
51,MA0823.1.HEY1,0.7301842865556464,TF_increase,0.3710349240822975_KS,4.8238694095032824e-17,7.116773570384063e-16,True,True
52,MA0076.2.ELK4,0.40261102662172227,TF_increase,0.2647824389397423_KS,3.6882015046633553e-07,1.6626178211498299e-06,True,True
53,MA0162.4.EGR1,0.4813320469648171,TF_increase,0.26815238415608444_KS,3.2667506638785295e-14,3.6382634844764795e-13,True,True
54,MA1569.2.TFAP2E,0.8411073351652357,TF_increase,0.44565196793693507_KS,2.366832683832128e-20,4.635727463505684e-19,True,True
55,MA0814.3.TFAP2C,0.5338456244096177,TF_increase,0.3636586994010644_KS,4.868461441588958e-60,9.217620329408428e-58,True,True
56,MA0812.2.TFAP2B,0.8574588654864755,TF_increase,0.4255969224212791_KS,1.0776367160463454e-37,6.120976547143242e-36,True,True
57,MA0003.5.TFAP2A,0.5344223485419843,TF_increase,0.3695123021964014_KS,1.994979953649431e-60,4.532594454691507e-58,True,True
58,MA0649.2.HEY2,0.45040645159225334,TF_increase,0.21811777965624118_KS,4.970778021602472e-12,4.6285277315904984e-11,True,True
59,MA0616.3.HES2,0.534832623443491,TF_increase,0.2659616971060118_KS,2.9370185287550106e-09,1.9175017521067197e-08,True,True
60,MA0745.1.SNAI2,0.23246418187211534,TF_increase,0.17806638099686575_KS,7.371355067879729e-07,3.1245743869818553e-06,True,True
61,MA0048.3.NHLH1,0.23320780192542645,TF_increase,0.17512966595899063_KS,9.870251733168533e-08,4.833019814172178e-07,True,True
62,MA0804.2.TBX19,0.27571243996116357,TF_increase,0.15091211673235377_KS,3.061309702063743e-18,4.968068316492017e-17,True,True
63,MA0003.2.TFAP2A,0.7472345109291708,TF_increase,0.3775086418358961_KS,2.950030206642284e-32,1.241197894350235e-30,True,True
64,MA0648.1.GSC,-0.2967706264204329,TF_decrease,0.28146495143082173_KS,0.002880421595104999,0.0059493798764350524,True,True
65,MA0048.1.NHLH1,0.2354111353889416,TF_increase,0.14989019717783383_KS,5.21722592794591e-07,2.2707925877956145e-06,True,True
66,MA1581.1.ZBTB6,0.20038854060428715,TF_increase,0.17307293273140228_KS,0.006739899376089853,0.012718481214681185,True,False
67,MA1731.1.ZNF768,-0.02444118827242035,TF_decrease,0.07517253995443282_KS,0.0016074682347737227,0.0036742131080542235,True,True
68,MA0464.2.BHLHE40,0.6263779534112041,TF_increase,0.2874408589965153_KS,3.357623073316631e-07,1.5318312495131294e-06,True,True
69,MA0750.1.ZBTB7A,0.15722155750972466,TF_increase,0.15208189380790973_KS,0.02147278002583715,0.035506663914630275,True,False
70,MA0632.2.TCFL5,0.37966274590704696,TF_increase,0.19507356503033738_KS,9.204834470613287e-26,2.3237093241370428e-24,True,True
71,MA0750.2.ZBTB7A,0.4462922782657579,TF_increase,0.2858604868185706_KS,1.4607303646539918e-12,1.4062624527516396e-11,True,True
72,MA0139.2.CTCF,0.260677773957178,TF_increase,0.15905614852983274_KS,6.8514772622336335e-09,4.2071773891337335e-08,True,True
73,MA0499.2.MYOD1,0.40264813696403395,TF_increase,0.23814690414449546_KS,3.3755740812473086e-17,5.045594942495978e-16,True,True
74,MA0903.1.HOXB3,-0.9102215092927478,TF_decrease,0.5117370892018779_KS,0.0003726557527712697,0.000998234145332061,True,True
75,MA0499.3.MYOD1,0.4101995685229965,TF_increase,0.23341289042917238_KS,5.0720799174566805e-21,1.0289076403983552e-19,True,True
76,MA0103.2.ZEB1,0.20155859919091954,TF_increase,0.17361783539797018_KS,6.602681241721861e-07,2.830432411545673e-06,True,True
77,MA1731.2.ZNF768,-0.0377412583541192,TF_decrease,0.09341515773753967_KS,0.002059926002342204,0.004570460817696765,True,True
78,MA2325.1.EPAS1,0.43619907762320037,TF_increase,0.23467199286392987_KS,5.675997302899378e-07,2.451685527031823e-06,True,True
79,MA1965.1.SP5,0.3646670810615534,TF_increase,0.23010065615445394_KS,0.00010461909256289886,0.0003127597003277738,True,True
80,MA0112.2.ESR1,0.2946439223132493,TF_increase,0.18521489555535847_KS,3.789147812823414e-10,2.795111633355453e-09,True,True
81,MA1648.1.TCF12,0.6472536411616445,TF_increase,0.3332860942746261_KS,1.0286634624208704e-21,2.1640031357594607e-20,True,True
82,MA0003.1.TFAP2A,0.7752151581691551,TF_increase,0.40091693619778856_KS,1.9236193508669027e-52,2.1852315825848012e-50,True,True
83,MA1653.1.ZNF148,0.17475196747489383,TF_increase,0.11343372906258327_KS,0.00018574753793946781,0.0005262074890255248,True,True
84,MA1964.1.SMAD2,-0.06569578708822955,TF_decrease,0.0847692785345597_KS,0.18713171790018285,0.2402052333724381,False,False
85,MA1569.1.TFAP2E,0.8166785220414122,TF_increase,0.4210805534334946_KS,4.2954917539746305e-24,9.759357265030362e-23,True,True
86,MA1713.2.ZNF610,0.410117676883341,TF_increase,0.24621576859376806_KS,1.0983700920179815e-07,5.332258224497551e-07,True,True
87,MA0527.1.ZBTB33,0.30262128393747034,TF_increase,0.15864906555161776_KS,8.457791190397615e-15,1.0113737676096517e-13,True,True
88,MA0736.1.GLIS2,0.3986604462879277,TF_increase,0.2722375419800014_KS,3.028439117283281e-11,2.51117287389329e-10,True,True
89,MA0640.3.ELF3,0.35980170642362513,TF_increase,0.21963030768322211_KS,2.517221120448196e-05,8.193590810398712e-05,True,True
90,MA0473.4.ELF1,0.36013312206842657,TF_increase,0.20154993414572475_KS,2.2226360128300875e-05,7.297440782008611e-05,True,True
91,MA1559.2.SNAI3,0.32465884539044715,TF_increase,0.24424734331855075_KS,7.694885383835283e-15,9.299350846847746e-14,True,True
92,MA1959.1.KLF7,0.5464986039113268,TF_increase,0.3421951878886185_KS,1.4656944629430652e-15,1.9360801277945607e-14,True,True
93,MA0528.1.ZNF263,-0.04998915643229495,TF_decrease,0.1395875617375884_KS,1.4533830329938288e-05,4.9880456963171895e-05,True,True
94,MA0649.1.HEY2,0.5312114686251733,TF_increase,0.27110536747064756_KS,4.9243025206515876e-15,6.080443112456743e-14,True,True
95,MA0527.2.ZBTB33,0.2168048575915438,TF_increase,0.12802682884024022_KS,3.433740228341051e-10,2.549496012676754e-09,True,True
96,MA0902.1.HOXB2,-0.8297143953104346,TF_decrease,0.48043818466353677_KS,0.0010780533246325871,0.0025891513251218162,True,True
97,MA0028.1.ELK1,0.32479885477006126,TF_increase,0.22743168910156075_KS,0.0040104614551367814,0.00796483254027165,True,True
98,MA0822.1.HES7,0.6988366719520347,TF_increase,0.3992361135519548_KS,1.2660531012085625e-19,2.335379403402766e-18,True,True
99,MA1099.2.HES1,0.6068197630395876,TF_increase,0.27503030744970786_KS,1.5796565347560574e-19,2.8483965452109223e-18,True,True
100,MA0821.2.HES5,0.9266837347650344,TF_increase,0.4514686248331108_KS,2.5596884707470756e-19,4.473547850413351e-18,True,True
101,MA0761.3.ETV1,0.37758826004523827,TF_increase,0.22928125100827051_KS,1.2180658878592565e-11,1.0644021912370118e-10,True,True
102,MA2332.1.ZNF175,0.3535811755268543,TF_increase,0.20307718341548053_KS,2.3345208100288206e-08,1.3128790297983863e-07,True,True
103,MA0819.2.CLOCK,0.47160282787139424,TF_increase,0.3130450364353124_KS,0.0002759305024137719,0.0007553181945591443,True,True
104,MA0798.2.RFX3,0.32943863399896633,TF_increase,0.22086967995113824_KS,6.143241583558975e-11,4.91459326684718e-10,True,True
105,MA0024.2.E2F1,0.2828935468434922,TF_increase,0.14383491182933764_KS,2.6020387317722686e-10,1.9575602644326474e-09,True,True
106,MA0698.1.ZBTB18,0.2748855290947547,TF_increase,0.20049914610101663_KS,5.827539274974598e-13,5.706969496871675e-12,True,True
107,MA0809.1.TEAD4,0.6923527794433966,TF_increase,0.3131107039751277_KS,2.1696476051481154e-05,7.206782688445202e-05,True,True
108,MA1108.2.MXI1,0.4401092563416713,TF_increase,0.2864212586143331_KS,0.0037204412273819914,0.007520322480971427,True,True
109,MA0516.3.SP2,0.1279531152155424,TF_increase,0.10058376831750264_KS,0.01603768734735534,0.02739671101743709,True,False
110,MA0522.3.TCF3,0.6480072990942612,TF_increase,0.32797197718397514_KS,2.6479250476896886e-18,4.42359243261101e-17,True,True
111,MA0502.2.NFYB,0.14691859744432895,TF_increase,0.0839740791726824_KS,0.6152654372431798,0.6526064768517762,False,False
112,MA1117.1.RELB,0.5600135949995632,TF_increase,0.3829583115297401_KS,0.0004792373227797801,0.0012317049743842312,True,True
113,MA0593.2.FOXP2,-0.4900167970774218,TF_decrease,0.4275245266883626_KS,0.00038192298095348704,0.001018461282542632,True,True
114,MA0523.2.TCF7L2,-0.8607759431296345,TF_decrease,0.5646548117154812_KS,5.30494557637511e-08,2.751789120895948e-07,True,True
115,MA0750.3.ZBTB7A,0.4245013074549002,TF_increase,0.28825477347988443_KS,1.2493562789866163e-08,7.375990645733744e-08,True,True
116,MA0076.3.ELK4,0.3906254854661649,TF_increase,0.2516961463337668_KS,8.09120189589202e-06,2.8723766730416668e-05,True,True
117,MA2329.1.ZBTB11,0.43118040019771625,TF_increase,0.2823206734482804_KS,6.9244537375089685e-09,4.229128734306553e-08,True,True
118,MA0597.2.THAP1,0.34479803604260617,TF_increase,0.25131455650451123_KS,2.7706235928822765e-11,2.3142855893487253e-10,True,True
119,MA0769.2.TCF7,-0.8607759431296345,TF_decrease,0.4364470504739857_KS,7.619866621122521e-06,2.7306525178533703e-05,True,True
120,MA0768.1.LEF1,-0.4517808511208795,TF_decrease,0.4291546337621423_KS,3.901751333053636e-07,1.7450352418696575e-06,True,True
121,MA1970.1.TRPS1,-0.4602484160673483,TF_decrease,0.3812279265297144_KS,4.576948874842981e-06,1.7159781920203386e-05,True,True
122,MA0745.2.SNAI2,0.3645090964323917,TF_increase,0.228298526819586_KS,6.167452702789774e-15,7.533576634805573e-14,True,True
123,MA0162.5.EGR1,0.4543063721551932,TF_increase,0.2704357549471402_KS,2.1546172528088844e-10,1.6317634661272619e-09,True,True
124,MA1653.2.ZNF148,0.3684007907792573,TF_increase,0.2547066774804001_KS,9.917637896484984e-09,5.92970350021418e-08,True,True
125,MA0712.2.OTX2,-0.01540858386010215,TF_decrease,0.28980687459914006_KS,0.040347331299319514,0.062444916016385514,False,False
126,MA0868.2.SOX8,0.13004926169981082,TF_increase,0.2326093446783102_KS,0.1776740984841492,0.22962204309214274,False,False
127,MA1516.1.KLF3,0.41527172038888094,TF_increase,0.2750973206371586_KS,3.3973435763986453e-07,1.5437529211155443e-06,True,True
128,MA1581.2.ZBTB6,0.18810630908259007,TF_increase,0.18171847429358728_KS,0.005875688134170166,0.011274969122326535,True,False
129,MA1529.1.NHLH2,0.25346376899935424,TF_increase,0.17063164919718918_KS,1.593847626275639e-05,5.4209907288895986e-05,True,True
130,MA0642.1.EN2,-0.8920827083398627,TF_decrease,0.4809077809798271_KS,2.849500482957542e-07,1.3212377749550072e-06,True,True
131,MA1655.1.ZNF341,0.7063568338313898,TF_increase,0.3214070438301903_KS,2.0255352532583825e-25,5.0021914080467875e-24,True,True
132,MA0482.2.GATA4,-0.3010439820246188,TF_decrease,0.3369728876020005_KS,1.6916798898669026e-05,5.7365622533994065e-05,True,True
133,MA0103.3.ZEB1,0.4131436678009441,TF_increase,0.2185856628840299_KS,9.014600405082735e-10,6.400366287608741e-09,True,True
134,MA0737.1.GLIS3,0.2593343420978419,TF_increase,0.20573190640304734_KS,8.574144343351837e-06,3.024915519890586e-05,True,True
135,MA1108.1.MXI1,0.8323857443351071,TF_increase,0.45884444444444444_KS,4.540899152224151e-19,7.815850662010053e-18,True,True
136,MA1121.1.TEAD2,0.2638040747331538,TF_increase,0.14343314371444646_KS,0.05893443525538625,0.08728750775765161,False,False
138,MA1593.1.ZNF317,0.25266151387670027,TF_increase,0.14345383461281527_KS,0.00010048318566059103,0.00030278222522660855,True,True
139,MA1656.1.ZNF449,0.35013435193095355,TF_increase,0.27927305252886647_KS,6.713263030998387e-05,0.00020780018537368307,True,True
140,MA1493.1.HES6,0.5270034994107755,TF_increase,0.2621863033136558_KS,0.0005918543950515833,0.0014974311643175917,True,True
141,MA1529.2.NHLH2,0.3101328843210935,TF_increase,0.19717268941737892_KS,5.016528150233689e-07,2.191836914871335e-06,True,True
142,MA1719.2.ZNF816,0.2952135966628478,TF_increase,0.19857095380525092_KS,2.6034194278413923e-06,1.0093803651972088e-05,True,True
143,MA0090.2.TEAD1,0.7948076328214314,TF_increase,0.39266258424955763_KS,9.009728326883884e-08,4.430758172874499e-07,True,True
144,MA1725.2.ZNF189,-0.00836488872673145,TF_decrease,0.18348789792159959_KS,0.07193369655441526,0.10370136965205043,False,False
145,MA0804.1.TBX19,0.2544591299260216,TF_increase,0.1376023618769321_KS,3.0581535726549895e-13,3.1297859986811428e-12,True,True
146,MA1517.2.KLF6,0.10001323100604309,TF_increase,0.06490657713780786_KS,0.26391834865389313,0.3213410976107423,False,False
147,MA0600.1.RFX2,0.04035623702848695,TF_increase,0.045916102289972595_KS,0.6999474179600368,0.7335242313677138,False,False
148,MA1726.2.ZNF331,0.5306548565754466,TF_increase,0.2658614597925623_KS,6.976611023791766e-10,5.048044664348691e-09,True,True
149,MA0821.1.HES5,0.7326338495622812,TF_increase,0.4193062216893152_KS,2.0517557191303755e-15,2.6790741344047204e-14,True,True
150,MA0036.3.GATA2,-0.43290136842700366,TF_decrease,0.3665412889137866_KS,5.5500915522473475e-06,2.047046754335385e-05,True,True
151,MA1516.2.KLF3,0.42558496786768596,TF_increase,0.28284588455077786_KS,1.609572479542515e-07,7.618643069834571e-07,True,True
152,MA1959.2.KLF7,0.6540383226117567,TF_increase,0.35685478816184873_KS,5.02481945866616e-17,7.318198596211228e-16,True,True
153,MA1513.2.KLF15,0.209350018503076,TF_increase,0.11955970930497185_KS,0.00010032089543351652,0.00030278222522660855,True,True
154,MA0493.3.KLF1,0.7733578029825687,TF_increase,0.3886245050512526_KS,1.3396525161599616e-38,8.45469587976509e-37,True,True
155,MA1468.1.ATOH7,0.3394730428878401,TF_increase,0.19316601672342082_KS,0.0031850567568051194,0.00654290140276784,True,True
156,MA0742.2.KLF12,0.4070043359676247,TF_increase,0.25733257446404856_KS,2.7564787212859043e-05,8.946742363945108e-05,True,True
157,MA0493.2.KLF1,0.6643651829813307,TF_increase,0.34761682337889155_KS,2.492367926739424e-25,6.024106308034012e-24,True,True
158,MA1961.2.PATZ1,0.3164117740041818,TF_increase,0.19710562191947986_KS,6.759250093727601e-08,3.3975699586170596e-07,True,True
159,MA0036.2.GATA2,-0.4672647204122511,TF_decrease,0.4056946274337579_KS,1.9881832123725476e-08,1.129288064627607e-07,True,True
160,MA1472.1.BHLHA15,0.40465676315791366,TF_increase,0.21101707709112222_KS,6.645257252335141e-12,6.087913095687678e-11,True,True
161,MA2096.1.ZNF524,0.32635180508697476,TF_increase,0.22329137416283384_KS,6.102032648207221e-09,3.7673418958496756e-08,True,True
162,MA1467.1.ATOH1,0.16177326649029236,TF_increase,0.09249018214265334_KS,0.060719078524596785,0.0892326949598214,False,False
163,MA0472.2.EGR2,0.46420873922383143,TF_increase,0.2622923074970277_KS,6.082984331448929e-08,3.098775874675329e-07,True,True
164,MA1565.2.TBX18,0.35817189386757525,TF_increase,0.27816897624991493_KS,2.0505403354090043e-10,1.5739282574490737e-09,True,True
165,MA0668.1.NEUROD2,0.3905086244228355,TF_increase,0.2196399821719317_KS,0.006695597142201831,0.012655904082431415,True,False
166,MA2121.1.ZNF213,0.6849878788820202,TF_increase,0.37968875067852903_KS,9.987765890497736e-30,3.4382127429107356e-28,True,True
167,MA0154.4.EBF1,0.37186041835783873,TF_increase,0.2760701830469272_KS,1.681035060774562e-29,5.616634791293831e-28,True,True
168,MA0500.2.MYOG,0.5098054805839853,TF_increase,0.273744112613692_KS,1.0563074865391675e-16,1.518943423681638e-15,True,True
169,MA1716.2.ZNF76,0.1762022808267703,TF_increase,0.12222261099277908_KS,3.4108199680828596e-08,1.871831634658033e-07,True,True
170,MA0865.3.E2F8,0.4469232562631861,TF_increase,0.2302808022922636_KS,2.8751834718367905e-15,3.711600481825675e-14,True,True
171,MA0528.2.ZNF263,-0.01590328495746905,TF_decrease,0.05706069148763812_KS,0.0035962706744098374,0.007308342551215699,True,True
172,MA0867.2.SOX4,0.13004926169981082,TF_increase,0.16899821354953964_KS,0.5941447297997764,0.6349467667474563,False,False
173,MA1122.1.TFDP1,0.4228631675888003,TF_increase,0.20231932307524877_KS,5.152710953797737e-08,2.685082405281757e-07,True,True
174,MA0698.2.ZBTB18,0.251308723731274,TF_increase,0.17376396085204376_KS,2.089701109086934e-09,1.3964120352486807e-08,True,True
175,MA1104.1.GATA6,-0.3161550859114665,TF_decrease,0.34111707841031147_KS,1.5824762460919796e-05,5.398477524205672e-05,True,True
176,MA0764.3.ETV4,0.520064987940945,TF_increase,0.30572885707578035_KS,3.986370514782999e-09,2.51584272488527e-08,True,True
177,MA1568.2.TCF21,0.5085894881500632,TF_increase,0.3196154540530782_KS,0.00408938899324877,0.008107409941240144,True,True
178,MA1107.1.KLF9,0.7827692991855612,TF_increase,0.35792010509565925_KS,1.2111636310781662e-32,5.503527539619188e-31,True,True
179,MA1578.1.VEZF1,0.23646615787593256,TF_increase,0.16972624798711755_KS,0.08239015847474758,0.11787811086563381,False,False
180,MA1719.1.ZNF816,0.3171586781619728,TF_increase,0.19418238993710693_KS,1.6818143693681077e-06,6.703653065270772e-06,True,True
181,MA0471.1.E2F6,0.08466297235906535,TF_increase,0.1446180373156005_KS,0.05342369761777055,0.08006506661449517,False,False
182,MA0820.1.FIGLA,0.33664798966539844,TF_increase,0.2928801202256373_KS,2.179704592199318e-13,2.251040378853114e-12,True,True
183,MA1650.2.ZBTB14,0.32745254644928373,TF_increase,0.21598199391815853_KS,8.398761002777726e-14,8.916815419771493e-13,True,True
184,MA1522.2.MAZ,0.35282170191857354,TF_increase,0.22324464365045504_KS,1.1842287690893907e-05,4.1266376738820486e-05,True,True
185,MA0039.5.KLF4,0.7678651840247679,TF_increase,0.3698297884554666_KS,9.398756580013762e-34,4.642168467345927e-32,True,True
186,MA1515.2.KLF2,0.46651925146834444,TF_increase,0.23229630853420905_KS,3.0118165716024063e-22,6.455516274227045e-21,True,True
187,MA1099.3.HES1,0.2916078988085944,TF_increase,0.170363482671175_KS,1.7287577956381632e-07,8.148833426742546e-07,True,True
188,MA1102.3.CTCFL,0.67120998095169,TF_increase,0.34638854870103697_KS,1.8208456841383854e-29,5.909944849089159e-28,True,True
189,MA0442.2.SOX10,-0.12183081527748375,TF_decrease,0.1418408557089508_KS,0.5201243657399413,0.5709318058225524,False,False
190,MA0886.1.EMX2,-0.9231158352316388,TF_decrease,0.6232453677709152_KS,2.1956855854831092e-05,7.229851666982063e-05,True,True
191,MA1720.2.ZNF85,-0.5661976406573798,TF_decrease,0.34632896983494593_KS,2.6396206384623548e-09,1.733300026181061e-08,True,True
192,MA1638.1.HAND2,-0.24919082177121415,TF_decrease,0.1383263262236806_KS,0.0016537296790151517,0.0037572738307224242,True,True
193,MA0753.2.ZNF740,0.09648629882811045,TF_increase,0.13364031367389687_KS,0.21365380227555328,0.26937926679803387,False,False
194,MA0162.2.EGR1,0.1923973427412554,TF_increase,0.1368739680792515_KS,0.0008841336949965649,0.0021599481236905327,True,True
195,MA0825.1.MNT,0.7526826128204296,TF_increase,0.4217794156356936_KS,1.7809021358782594e-08,1.02695676464858e-07,True,True
196,MA1587.1.ZNF135,0.4700885370321531,TF_increase,0.2656490705556126_KS,8.509661175700084e-07,3.580361146516776e-06,True,True
197,MA1120.1.SOX13,0.11038906645369825,TF_increase,0.16091503267973856_KS,0.515691512149718,0.5676604242268213,False,False
198,MA0481.2.FOXP1,-0.518493735170381,TF_decrease,0.4391830065359477_KS,0.0001051709555679662,0.0003127597003277738,True,True
199,MA0502.3.NFYB,0.2550449330298858,TF_increase,0.15307020853772044_KS,0.0983301584223698,0.13672345161298913,False,False
200,MA0665.1.MSC,0.284619541207288,TF_increase,0.17598399939620363_KS,4.574984656954954e-06,1.7159781920203386e-05,True,True
201,MA1559.1.SNAI3,0.32552382647214767,TF_increase,0.2284134107879518_KS,1.6234996584974918e-11,1.4078592458420997e-10,True,True
202,MA0685.2.SP4,0.43919064955321047,TF_increase,0.31345483981749495_KS,9.645988664665012e-10,6.8061137410307166e-09,True,True
203,MA1585.2.ZKSCAN1,-0.4481270848487598,TF_decrease,0.2596255191291216_KS,2.4221109540037063e-08,1.355427607757739e-07,True,True
204,MA2330.1.ZBTB24,0.7473854847813793,TF_increase,0.42564524691468486_KS,2.3740590295918355e-43,2.2474425480136043e-41,True,True
205,MA0759.2.ELK3,0.43459082973627905,TF_increase,0.2170429252782194_KS,0.0016032129274208189,0.003671874769254134,True,True
206,MA0509.2.RFX1,0.36663175239401335,TF_increase,0.25485918174510275_KS,4.9451454549160046e-11,4.0707864034670877e-10,True,True
